titrearticle;resumearticle;textearticle;motsClesArticle
Assassinats des Boko haram à l'Extreme-Nord;Les boko haram ont encore frappé fort dans la région de l'extreme Nord;Les boko haram ont encore frappé fort dans la région de l'extreme NordLes boko haram ont encore frappé fort dans la région de l'extreme Nord;boko haram   assassinat
Fongicides pour plantes;Les fongicides sont de plus en plus utilisés pour le traitement des plantes.;Les fongicides sont de plus en plus utilisés pour le traitement des plantesLes fongicides sont de plus en plus utilisés pour le traitement des plantes;fongicides   plantes
Migration des oiseaux;La migration des oiseaux est d'une grande importance  pour les fleurs et les abeilles.;La migration des oiseaux est d'une grande importance  pour les fleurs et les abeilles.La migration des oiseaux est d'une grande importance  pour les fleurs et les abeilles.;migration des oiseaux.
Déterminoloisation des mots en français;La déterminologisation est un processus en terminologie permettant de quitter du terme au mot.;La déterminologisation est un processus en terminologie permettant de quitter du terme au mot.La déterminologisation est un processus en terminologie permettant de quitter du terme au mot.;déterminologisation   mot
Déforestation en zone rurale;La déforestation se pratique de plus en plus en zone rurale ce qui est dangereux.;La déforestation se pratique de plus en plus en zone rurale ce qui est dangereux.La déforestation se pratique de plus en plus en zone rurale ce qui est dangereux.;déforestation   zone rurale
Les peuples de la foret;Les peupes de la foret font partie des peuples les plus anciens du Cameroun.;s peupes de la foret font partie des peuples les plus anciens du Cameroun.s peupes de la foret font partie des peuples les plus anciens du Cameroun.;peuples de la foret
L'exode rurale;L'exode rural est un phénomene par lequel les populations se déplacent.;L'exude rural est un phénomene par lequel les populations se déplacent. L'exude rural est un phénomene par lequel les populations se déplacent.;
Déflation du dollars américain;Depuis quelques mois plusieurs écoles ont été créees en Haiti.;Depuis quelques mois plusieurs écoles ont été créees en Haiti.Depuis quelques mois plusieurs écoles ont été créees en Haiti.;haiti   ecole.
Disney domine l'industrie mondiale?;Depuis quelques mois plusieurs écoles ont été créees en Haiti.;Depuis quelques mois plusieurs écoles ont été créees en Haiti. Depuis quelques mois plusieurs écoles ont été créees en Haiti.;Dollar americain
Inflation de l'euro;Depuis quelques mois plusieurs écoles ont été créees en Haiti.;Depuis quelques mois plusieurs écoles ont été créees en Haiti.Depuis quelques mois plusieurs écoles ont été créees en Haiti.;chinois   étudier
Chinois   une langue à étudier?;Depuis quelques mois plusieurs écoles ont été créees en Haiti.;Depuis quelques mois plusieurs écoles ont été créees en Haiti. Depuis quelques mois plusieurs écoles ont été créees en Haiti.;chinois   étudier
Les expositions du défunt peintre Pablo Picasso;Depuis quelques mois plusieurs écoles ont été créees en Haiti.;Depuis quelques mois plusieurs écoles ont été créees en Haiti.Depuis quelques mois plusieurs écoles ont été créees en Haiti.;Pablo Picasso   exposition
Justice pour George Floyd;Les peuples noirs réclement justice pour George Floyd;Les peuples noirs réclement justice pour George FloydLes peuples noirs réclement justice pour George Floyd;George Floy   justice
Concert de Charlotte dipanda au palais de la culture;Le concert de charlotte Dipanda s'est fait au palais de la culture vendredi dernier.;Le concert de charlotte Dipanda s'est fait au palais de la culture vendredi dernier.Le concert de charlotte Dipanda s'est fait au palais de la culture vendredi dernier.;
La réligion dans le monde;Les peuples noirs réclement justice pour George FloydLes peuples noirs réclement justice pour George Floyd;Les peuples noirs réclement justice pour George FloydLes peuples noirs réclement justice pour George Floyd;religion
revue économique du parisien;Le mandat d'Emmanuel Macron au sein de la république fraçaise ;Le mandat d'Emmanuel Macron au sein de la république fraçaise Le mandat d'Emmanuel Macron au sein de la république fraçaise ;revue economique
La croissance des ovaires ;Le théoreme de thales est un theoreme mathematiques ;Le théoreme de thales est un theoreme mathematiques    Le théoreme de thales est un theoreme mathematiques ;oivaire   croisance
Fécondation in vitro;Le mandat d'Emmanuel Macron au sein de la république fraçaise ;Le mandat d'Emmanuel Macron au sein de la république fraçaise Le mandat d'Emmanuel Macron au sein de la république fraçaise ;fecondation   in vitro
Emprisonnement de lacourt;la psychologie humaine a beaucoup évolué au sein des années;la psychologie humaine a beaucoup évolué au sein des annéesla psychologie humaine a beaucoup évolué au sein des années;Lacourt   emprisonnement
Procès de Nicolas Ferrari;Pour construire une maison   il faut d'abord en élaborer la maquette;Pour construire une maison   il faut d'abord en élaborer la maquettePour construire une maison   il faut d'abord en élaborer la maquette;procès   Nicolas Ferrari
Sortie de la nouvelle peugeot;Le manioc est une tubercule qui permet de bien manger et d'etre rassasie;Le manioc est une tubercule qui permet de bien manger et d'etre rassasieLe manioc est une tubercule qui permet de bien manger et d'etre rassasie;Peugeot
Système éducatif Camerounais;Depuis quelques mois plusieurs écoles ont été créees en Haiti.;Depuis quelques mois plusieurs écoles ont été créees en Haiti.Depuis quelques mois plusieurs écoles ont été créees en Haiti.;système educatif cameroun
Seismes dans les régions cotières;Le détournement en Afrique centrale est une pratique très courante.;Le détournement en Afrique centrale est une pratique très courante.Le détournement en Afrique centrale est une pratique très courante.;seismes   regions cotieres
Eruption volcanique en Inde;Pour elever un batiment il y a de nombreuses étapes à  respecter.;Pour elever un batiment il y a de nombreuses étapes à  respecter.Pour elever un batiment il y a de nombreuses étapes à  respecter.;Eruption volcanique   inde
Campagne electorale de jean Leclerc;La mycose du pieds est une très mauvaise maladie.;La mycose du pieds est une très mauvaise maladie. La mycose du pieds est une très mauvaise maladie.;campagne electorale jean Leclerc
Consommation de la marie juana en Amérique;Le satellite de mars seraientot lancé.;Le satellite de mars seraientot lancé.Le satellite de mars seraientot lancé.;marie juana   consommation
Légitime défense condamnable ou pas?;La légitime éfense devrait-ell etre considerée comme un crime ou comme un acte de désespoir.;La légitime éfense devrait-ell etre considerée comme un crime ou comme un acte de désespoir.La légitime éfense devrait-ell etre considerée comme un crime ou comme un acte de désespoir.;légitime défense
